id,name,lat,lng,category,country,city,sources,url,tags
6390,North Belfast Co-operative,54.612149994174,-5.95780497694286,ecovillage,,Belfast,Murmurations,flaxtrust.com,Co-op
6391,Fleece,54.388227083,-1.94305218,ecovillage,GB,Reeth,Murmurations,fleece.org.uk,Co-op
6392,Florence Park Social Club,51.734962359,-1.230124992,ecovillage,GB,Oxford,Murmurations,florenceparkcommunitycentre.org.uk,Co-op
6393,Flo's - The Place in The Park,51.734963313,-1.222582671,ecovillage,GB,Oxford,Murmurations,flosoxford.org.uk,Co-op
6394,Flowers from the Farm,50.982142946,-1.383409549,ecovillage,GB,Eastleigh,Murmurations,flowersfromthefarm.co.uk,Co-op
6395,Fife Food Network,56.318847932,-3.007366264,ecovillage,GB,Cupar Fife,Murmurations,foodfromfife.co.uk,Co-op
6396,FoodSmiles St. Albans,51.796900912,-0.371386196,ecovillage,GB,Harpenden,Murmurations,foodsmilesstalbans.org.uk,Co-op
6397,Fordhall Community Land Initiative (Fordhall Farm),52.892763599,-2.524941379,ecovillage,GB,Market Drayton,Murmurations,fordhallfarm.com,Co-op
6398,Forest Bakehouse,51.869124124,-2.455507262,ecovillage,GB,Longhope,Murmurations,forestbakehouse.co.uk,Co-op
6399,Forest Community Land Trust,51.56711809,-0.013488906,ecovillage,GB,London,Murmurations,forestclt.org,Co-op
6400,Forest of Avon Wood Products Co-operative,51.443494378,-2.630997907,ecovillage,GB,Bristol,Murmurations,forestofavonproducts.co.uk,Co-op
6401,Forest Row Energy Co-operative,51.09269116,0.031347265,ecovillage,GB,Forest Row,Murmurations,forestrowenergy.com,Co-op
6402,Forever Bury,53.580493455,-2.294873353,ecovillage,GB,Bury,Murmurations,foreverbury.org,Co-op
6403,Forgewood Housing Co-operative,55.805198174,-4.003713409,ecovillage,GB,Motherwell,Murmurations,forgewoodcoop.org.uk,Co-op
6404,Forres Area Credit Union,57.6117564,-3.610327116,ecovillage,GB,Forres,Murmurations,forresareacreditunion.co.uk,Co-op
